nome,idade,anos_pm,fase,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,ipv,ian,defasagem,sexo,corraca,bolsista_encoded,ponto_virada_encoded,pedra_encoded,fase_ideal,rec_equipe_1_resultado,rec_equipe_2_resultado,rec_equipe_3_resultado,rec_equipe_4_resultado,rec_equipe_1_resultado_encoded,rec_equipe_2_resultado_encoded,rec_equipe_3_resultado_encoded,rec_equipe_4_resultado_encoded,rec_sintese
ALUNO-60,18.0,5.0,6,Veterano,Ametista,6.956,7.9,7.5,6.9,6.1,7.2,7.7,5.0,-2.0,M,R,1,0,3,8.0,Neutro,Positivo,Positivo,Positivo,0.0,1.0,1.0,1.0,1.0
ALUNO-61,11.0,1.0,1,Veterano,Quartzo,3.017,0.0,1.3,5.6,0.0,6.9,5.1,5.0,-1.0,F,P,0,0,1,2.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-62,13.0,1.0,2,Veterano,Ágata,5.704,8.5,4.6,7.5,3.1,8.1,6.2,5.0,-1.0,M,B,0,0,2,3.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-65,9.0,0.0,0,Ingressante,Topázio,8.438,10.0,10.0,7.5,6.9,8.1,10.0,5.0,-1.0,M,B,0,1,4,1.0,Positivo,Positivo,,,1.0,1.0,,,1.0
ALUNO-66,13.0,0.0,2,Ingressante,Ágata,6.875,8.0,6.3,7.5,5.9,8.5,7.7,5.0,-1.0,F,R,0,0,2,3.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-67,11.0,0.0,1,Ingressante,Quartzo,4.939,7.4,3.3,7.5,1.1,8.3,6.1,5.0,-1.0,F,R,0,0,1,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-71,11.0,2.0,0,Veterano,Quartzo,2.4600000000000004,7.4,0.0,5.0,3.6,0.0,0.0,5.0,-2.0,F,P,0,1,1,2.0,,,,,,,,,
ALUNO-75,12.0,2.0,4,Veterano,Topázio,9.108,10.0,9.2,7.5,8.5,8.8,9.7,10.0,1.0,F,R,1,1,4,3.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-76,8.0,1.0,1,Veterano,Topázio,8.869,10.0,10.0,7.5,7.6,7.5,9.2,10.0,1.0,F,B,0,1,4,0.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-77,9.0,0.0,0,Ingressante,Ametista,7.854,9.5,10.0,7.5,6.4,7.5,8.1,5.0,-1.0,F,B,0,0,3,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-78,11.0,4.0,1,Ingressante,Ágata,6.339,8.9,9.2,7.5,2.6,7.3,5.6,5.0,-1.0,F,R,0,0,2,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-81,16.0,2.0,5,Veterano,Ágata,6.188,6.3,5.8,2.5,6.5,8.1,7.7,5.0,-1.0,F,A,1,0,2,6.0,Positivo,Positivo,Positivo,Neutro,1.0,1.0,1.0,0.0,1.0
ALUNO-83,15.0,5.0,5,Veterano,Ágata,5.987,6.7,6.4,3.8,3.0,7.3,6.7,10.0,0.0,F,B,1,0,2,5.0,Positivo,Neutro,Positivo,Neutro,1.0,0.0,1.0,0.0,1.0
ALUNO-84,9.0,1.0,1,Ingressante,Ametista,7.867,3.5,10.0,7.5,6.8,7.5,8.3,10.0,0.0,F,B,0,0,3,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-85,10.0,2.0,0,Veterano,Ágata,6.652,9.5,6.7,6.3,6.9,4.7,7.0,5.0,-2.0,M,B,0,0,2,2.0,Positivo,Neutro,,,1.0,0.0,,,1.0
ALUNO-87,15.0,5.0,5,Veterano,Ametista,8.004,7.9,7.8,7.5,7.8,8.1,7.7,10.0,0.0,F,B,1,0,3,5.0,Positivo,Positivo,Positivo,Neutro,1.0,1.0,1.0,0.0,1.0
ALUNO-88,12.0,3.0,2,Veterano,Ametista,8.096,9.5,9.6,6.3,7.4,8.1,9.1,5.0,-1.0,F,B,1,1,3,3.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-90,15.0,2.0,4,Veterano,Ágata,5.994,7.1,5.0,7.5,4.6,7.2,7.0,5.0,-1.0,M,R,0,0,2,5.0,Positivo,Neutro,Positivo,Positivo,1.0,0.0,1.0,1.0,1.0
ALUNO-91,11.0,3.0,2,Veterano,Quartzo,4.200,9.5,0.0,7.5,2.2,5.6,2.5,10.0,0.0,F,B,0,0,1,2.0,Neutro,,,,0.0,,,,0.0
ALUNO-93,8.0,0.0,0,Ingressante,Ágata,6.248,8.0,4.2,7.5,5.1,6.6,5.9,10.0,0.0,F,P,0,0,2,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-94,13.0,2.0,4,Ingressante,Ágata,5.923,7.5,3.6,7.5,4.6,7.3,5.2,10.0,1.0,F,B,0,0,2,3.0,Neutro,Neutro,Positivo,Positivo,0.0,0.0,1.0,1.0,0.0
ALUNO-95,16.0,2.0,4,Veterano,Quartzo,4.957,8.3,5.6,7.5,1.3,6.9,4.1,5.0,-2.0,F,R,0,0,1,6.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-97,13.0,3.0,2,Veterano,Ágata,6.317,8.0,5.8,7.5,5.8,7.5,6.0,5.0,-1.0,F,R,0,0,2,3.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-98,14.0,0.0,3,Ingressante,Ametista,6.953,9.2,6.4,7.5,6.3,7.5,7.5,5.0,-1.0,F,R,0,0,3,4.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
