nome,idade,anos_pm,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,sexo,corraca,fase,bolsista_encoded,ponto_virada_encoded,pedra_encoded,destaque_ieg_resultado,destaque_ida_resultado,destaque_ipv_resultado,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded
ALUNO-451,9.0,2,7.322224,Ametista,9.000020000000001,8,6.25,4.5,7.083333333333333,7.944443333333333,10,F,R,1,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-453,10.0,1,5.682502,Quartzo,8.500020000000001,6.1,7.5,0,8.125,7.75,5,M,B,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-455,9.0,1,8.586392000000002,Topázio,9.500020000000001,9.3,7.5,7,7.708333333333334,9.277783333333334,10,F,R,2,0,1,4,Positivo,Negativo,Positivo,1,-1,1
ALUNO-457,7.0,0,5.9116686666666665,Quartzo,8.000020000000001,7.1,5.625,0,5.625,7.833333333333333,10,M,R,1,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-458,10.0,0,5.535835333333334,Quartzo,8.500020000000001,6.2,7.5,0,7.291666666666667,7.333333333333333,5,M,B,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-459,17.0,1,5.938332666666667,Quartzo,6.66666,6.9,3.125,3.6666666666666665,8.125,7.666666666666667,5,M,R,5,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-460,15.0,4,8.113544166666667,Ametista,9.58335,9,4.375,6.333333333333333,8.59375,8.958337499999999,10,M,R,5,0,1,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-462,16.0,0,7.248334333333334,Ágata,7.91667,8.2,7.5,6,8.333333333333334,7.666670000000001,5,F,P,5,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-463,12.0,3,8.291043,Ametista,8.75001,9.7,5,8,8.59375,7.583335,10,M,B,3,1,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-464,14.0,0,6.841113666666667,Ágata,9.58335,8.4,7.5,0,8.749999999999998,7.888893333333335,10,M,B,4,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-466,17.0,3,5.782291333333333,Quartzo,0,6.5,6.25,5.166666666666667,7.65625,7.791665,5,F,R,6,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-467,13.0,1,6.622917999999999,Ágata,9.500020000000001,7.5,6.875,3.75,7.1875,7.58333,5,M,B,2,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-468,10.0,2,7.426390666666667,Ametista,9.500020000000001,7.5,5,9,6.875,7.444443333333333,5,F,P,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-469,12.0,4,8.347085000000002,Ametista,8.75001,9.1,6.875,8,7.8125,7.91667,10,M,A,3,1,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-472,10.0,0,8.223057333333335,Ametista,9.000020000000001,8.9,7.5,9.5,7.708333333333334,8.11111,5,F,B,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-473,10.0,2,7.809445333333334,Ametista,9.500020000000001,7.7,6.875,10,6.875,7.222216666666665,5,M,B,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-474,10.0,1,8.033612666666667,Ametista,9.500020000000001,8.3,7.5,9.5,7.291666666666667,7.72222,5,M,R,1,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-476,17.0,1,8.101250333333333,Ametista,8.33334,9.1,6.25,7.166666666666667,7.8125,8.041665,10,F,R,7,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-477,12.0,1,5.791112666666667,Quartzo,9.000020000000001,5.9,5,2.75,7.5,7.055553333333332,5,F,P,2,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-478,14.0,0,6.578056666666668,Ágata,9.500020000000001,9.3,7.5,2,7.291666666666667,6.944439999999998,5,F,B,2,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-482,12.0,4,8.342224,Ametista,10.000020000000001,9.6,7.5,8,9.166666666666666,8.277776666666668,5,F,B,2,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-483,11.0,2,8.374169333333333,Ametista,9.500020000000001,9.6,5,8,7.708333333333334,8.16667,10,F,B,2,1,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-486,12.0,1,5.862502000000001,Quartzo,9.000020000000001,9,5,0.5,5.625,7.5,5,M,B,2,0,0,1,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-487,8.0,1,8.78125,Topázio,9.500020000000001,10,7.5,10,7.8125,6.49999,10,M,R,0,0,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-488,13.0,1,6.512222666666668,Ágata,10.000020000000001,4.2,6.875,5.666666666666667,7.291666666666667,5.611103333333335,10,F,R,3,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
